ID,Material,E_MPa,L,W,H,Force_N,Angle,VM_Stress_MPa,Disp_mm
23474,Stainless_304,193000,685.32,33.25,44.36,1282.99,334.25,35.826,1.2811
23475,Nylon_66,3000,548.64,34.46,113.76,5342.44,223.44,28.21,15.9447
23476,Titanium_6Al4V,114000,1438.05,53.5,47.98,5253.51,295.73,332.476,83.5689
23477,Aluminum_6061,69000,1843.02,59.69,106.94,10643.26,354.5,18.19,5.0716
23478,Brass,105000,325.49,25.94,109.96,10469.86,97.56,65.79,0.3953
23479,Stainless_304,193000,998.82,59.78,49.57,1189.4,75.17,47.023,3.2611
23480,Magnesium_AZ31B,45000,743.41,13.57,43.07,522.06,0.21,1.232,0.0661
23481,Polycarbonate,2400,240.56,45.3,85.02,1602.03,25.68,3.467,0.5798
23482,Copper_Alloy,117000,1369.63,22.06,37.93,783.44,188.55,31.087,8.499
23483,Brass,105000,1787.16,35.11,26.45,411.61,159.68,62.816,47.8407
23484,Magnesium_AZ31B,45000,1948.42,55.31,39.23,1342.87,220.13,119.346,170.4158
23485,Polycarbonate,2400,1248.41,19.21,115.12,1128.7,170.34,6.08,20.9579
23486,Stainless_304,193000,798.94,32.31,86.94,8135.4,290.81,150.463,3.7856
23487,Steel_High_Carbon,210000,1453.71,53.77,48.35,2090.6,103.84,141.062,19.5443
23488,Steel_Mild,200000,907.13,35.61,83.63,1625.28,3.81,2.906,0.0774
23489,Titanium_6Al4V,114000,602.86,42.12,72.47,3934.39,328.09,35.145,0.9973
23490,Steel_High_Carbon,210000,1121.82,52.77,45.8,3777.39,153.88,102.542,8.8211
23491,Steel_Mild,200000,1299.38,41.59,56.88,110.67,241.7,5.669,0.5586
23492,Brass,105000,958.7,18.56,89.1,4000.55,225.79,113.723,7.332
23493,Magnesium_AZ31B,45000,484.78,37.09,40.26,625.32,328.72,16.077,1.3585
23494,Nylon_66,3000,1882.58,54.34,84.25,1848.42,182.07,2.359,18.2795
23495,Magnesium_AZ31B,45000,1557.57,20.59,76.6,1708.58,348.15,28.206,12.7344
23496,Steel_Mild,200000,926.36,41.27,24.24,263.21,65.2,54.88,6.4628
23497,Steel_Mild,200000,381.16,35.41,37.16,4537.7,18.01,68.955,0.8552
23498,Aluminum_6061,69000,1271.07,34.6,28.5,244.76,288.85,62.94,34.4278
23499,Nylon_66,3000,764.7,56.56,82.86,3878.02,336.01,19.405,29.2166
23500,Copper_Alloy,117000,1147.22,30.5,56.81,259.85,299.75,15.854,2.0825
23501,Magnesium_AZ31B,45000,399.68,52.57,25.48,1183.25,279.17,82.248,7.6232
23502,Polycarbonate,2400,1654.29,13.65,102.2,251.12,301.67,14.979,110.6759
23503,Titanium_6Al4V,114000,563.56,57.4,105.53,33830.4,225.49,131.937,2.2461
23504,Steel_High_Carbon,210000,972.52,23.02,83.37,2704.16,93.41,98.595,3.5454
23505,Stainless_304,193000,366.49,54.53,47.32,1255.18,90.85,22.644,0.2216
23506,Brass,105000,937.71,12.11,115.37,2907.78,244.59,92.7,4.4364
23507,Polycarbonate,2400,414.16,49.35,107.96,9116.73,258.75,39.207,17.0488
23508,Brass,105000,1510.22,50.84,35.18,961.48,71.6,131.561,54.0814
23509,Steel_High_Carbon,210000,336.1,19.24,100.25,38644.31,358.42,31.173,0.0511
23510,Magnesium_AZ31B,45000,299.23,58.14,72.65,6010.77,85.74,35.369,0.6403
23511,Aluminum_6061,69000,909.8,50.11,36.23,1156.86,328.97,50.045,10.9249
23512,Magnesium_AZ31B,45000,269.22,24.9,87.25,273.95,90.96,2.359,0.0287
23513,Copper_Alloy,117000,1652.85,18.57,109.7,2010.99,263.26,88.778,12.5759
23514,Aluminum_6061,69000,682.81,40.06,86.33,5601.03,173.86,9.841,0.4292
23515,Brass,105000,1957.63,23.07,51.37,250.4,83.95,48.068,22.7559
23516,Magnesium_AZ31B,45000,1242.74,44.21,49.45,1893.94,140.47,83.824,38.4699
23517,Copper_Alloy,117000,424.83,16.21,108.61,2633.25,69.88,33.673,0.3121
23518,Aluminum_6061,69000,652.43,10.56,119.5,7819.44,65.12,187.322,6.3376
23519,Aluminum_6061,69000,1572.61,50.77,118.41,20020.77,151.43,129.904,25.6108
23520,Nylon_66,3000,822.91,29.59,109.98,1183.24,178.99,0.651,0.4061
23521,Brass,105000,751.23,14.18,107.07,7657.61,161.43,72.52,2.2631
23522,Stainless_304,193000,796.1,57.68,45.65,4858.0,52.19,153.696,7.3142
23523,Brass,105000,664.92,12.3,71.29,3191.94,243.39,183.957,7.1716
23524,Polycarbonate,2400,989.32,12.02,79.26,1035.03,19.4,28.066,92.704
23525,Aluminum_6061,69000,1312.76,21.74,109.21,8233.78,171.72,39.473,5.4922
23526,Titanium_6Al4V,114000,1606.72,51.05,85.9,34373.44,290.66,826.108,144.6624
23527,Nylon_66,3000,1465.56,58.72,63.94,1899.29,8.03,10.221,72.5454
23528,Aluminum_6061,69000,409.9,13.0,51.45,2416.16,63.66,156.58,4.8828
23529,Steel_High_Carbon,210000,1553.78,14.14,62.65,1793.25,165.58,76.985,9.1767
23530,Aluminum_6061,69000,1726.58,29.36,74.4,3941.24,202.36,97.259,36.9997
23531,Steel_Mild,200000,1017.96,39.15,97.81,14315.51,318.79,156.744,5.4315
23532,Brass,105000,1502.29,39.71,107.41,4909.42,186.77,12.535,1.5192
23533,Titanium_6Al4V,114000,1262.71,48.95,76.02,16818.03,223.79,315.069,38.2316
23534,Steel_Mild,200000,1603.72,31.82,48.52,949.04,252.37,116.376,20.5279
23535,Magnesium_AZ31B,45000,1776.16,34.2,109.5,822.48,205.47,9.394,3.9234
23536,Copper_Alloy,117000,1928.42,23.56,73.22,435.58,136.96,27.421,7.8812
23537,Aluminum_6061,69000,1444.03,33.64,46.24,1997.48,132.08,179.463,77.8107
23538,Steel_High_Carbon,210000,1396.25,54.79,87.17,14348.35,243.79,260.458,18.3912
23539,Magnesium_AZ31B,45000,804.95,15.49,45.17,957.62,124.62,121.241,25.5925
23540,Polycarbonate,2400,1016.75,16.59,91.06,480.9,271.59,21.343,67.2279
23541,Polycarbonate,2400,1663.34,48.47,110.73,1050.07,62.97,15.803,109.02
23542,Titanium_6Al4V,114000,1809.81,17.68,104.52,1133.51,93.62,63.659,11.6555
23543,Steel_High_Carbon,210000,384.19,20.23,101.58,42863.26,86.44,476.796,2.1792
23544,Brass,105000,1218.26,20.3,104.46,1066.09,323.59,21.3,1.8837
23545,Steel_High_Carbon,210000,843.22,39.61,77.72,3462.25,332.82,34.468,0.9713
23546,Copper_Alloy,117000,1504.54,26.74,33.95,296.36,172.67,11.399,4.2075
23547,Steel_High_Carbon,210000,1187.5,51.03,29.76,2120.44,26.21,148.903,22.2092
23548,Steel_Mild,200000,1066.7,41.49,25.49,1136.58,190.19,48.799,7.1034
23549,Polycarbonate,2400,621.45,45.87,94.89,5875.29,216.5,32.702,35.6704
23550,Steel_High_Carbon,210000,649.85,31.19,78.5,19615.55,173.9,50.301,0.7226
23551,Aluminum_6061,69000,1441.41,19.94,93.27,3917.33,80.31,192.951,41.4354
23552,Titanium_6Al4V,114000,1669.36,10.74,90.63,1946.27,182.72,12.486,1.8859
23553,Copper_Alloy,117000,457.07,51.83,80.58,1970.88,170.99,2.987,0.0372
23554,Brass,105000,711.32,44.82,81.34,11507.99,159.11,62.077,2.3326
23555,Stainless_304,193000,1933.4,32.64,43.21,852.54,66.67,149.26,44.5282
23556,Polycarbonate,2400,1588.22,57.84,91.5,2629.14,157.93,19.906,148.8642
23557,Nylon_66,3000,680.98,33.36,38.08,202.36,313.43,12.526,33.5904
23558,Aluminum_6061,69000,1238.09,51.17,28.05,148.65,92.14,27.414,14.4716
23559,Steel_Mild,200000,1486.69,20.23,36.5,259.52,137.79,57.971,11.6482
23560,Aluminum_6061,69000,1719.06,43.79,93.71,9653.51,136.6,179.665,54.2062
23561,Steel_High_Carbon,210000,1595.55,14.26,64.68,1905.88,313.74,222.429,27.61
23562,Copper_Alloy,117000,1048.64,18.91,75.46,2032.59,60.37,103.992,8.5723
23563,Stainless_304,193000,1487.79,36.14,63.8,1463.36,317.25,60.754,7.2239
23564,Copper_Alloy,117000,960.88,21.33,72.89,933.52,168.85,9.778,0.6629
23565,Nylon_66,3000,1799.31,20.96,52.0,369.62,9.94,12.488,168.149
23566,Steel_High_Carbon,210000,873.99,21.59,74.75,248.72,29.98,5.54,0.1753
23567,Polycarbonate,2400,1088.21,14.91,86.49,682.1,222.6,27.433,102.7944
23568,Magnesium_AZ31B,45000,997.38,23.59,63.98,1373.89,273.95,85.036,19.5654
23569,Nylon_66,3000,434.83,58.1,65.54,3490.0,356.78,2.967,1.3205
23570,Aluminum_6061,69000,506.01,10.21,92.09,3860.58,197.92,45.676,1.1193
23571,Aluminum_6061,69000,320.03,29.67,105.27,6095.6,63.89,33.139,0.3005
23572,Copper_Alloy,117000,1682.88,43.97,74.85,3745.62,236.69,128.954,27.6619
23573,Aluminum_6061,69000,1750.68,50.97,103.48,3215.63,51.68,48.948,13.8944
23574,Stainless_304,193000,907.56,18.12,54.12,1800.78,308.89,145.011,7.5602
23575,Steel_High_Carbon,210000,811.45,51.08,78.91,14373.61,38.54,139.995,3.6314
23576,Steel_Mild,200000,278.95,33.69,112.82,72812.01,355.06,43.768,0.0622
23577,Steel_Mild,200000,338.02,45.55,28.88,4198.82,202.74,89.646,1.1427
23578,Steel_Mild,200000,428.93,48.82,26.14,2762.34,136.69,147.808,3.4296
23579,Magnesium_AZ31B,45000,525.81,51.35,45.93,206.8,21.04,2.246,0.1928
23580,Aluminum_6061,69000,756.13,28.83,51.23,320.04,30.76,10.005,1.0582
23581,Nylon_66,3000,1483.37,59.92,72.7,831.63,192.09,5.083,32.9246
23582,Stainless_304,193000,1067.4,15.37,50.7,602.61,189.32,16.586,1.228
23583,Magnesium_AZ31B,45000,211.42,53.19,97.61,38657.12,60.82,89.717,0.5734
23584,Steel_High_Carbon,210000,1622.65,41.83,90.95,10672.33,134.06,217.806,19.8323
23585,Brass,105000,776.13,20.35,51.26,2472.31,66.48,198.45,14.7302
23586,Titanium_6Al4V,114000,827.16,35.95,35.06,9254.01,219.72,669.92,75.7957
23587,Aluminum_6061,69000,512.54,10.29,94.12,4674.97,130.4,123.606,3.239
23588,Titanium_6Al4V,114000,1510.02,31.37,57.66,8668.64,24.97,322.281,73.515
23589,Titanium_6Al4V,114000,248.06,33.86,26.14,11428.68,248.98,691.618,9.4474
23590,Copper_Alloy,117000,380.95,57.91,104.47,16282.11,18.86,21.699,0.1509
23591,Brass,105000,1325.49,48.26,93.77,3232.85,336.05,25.26,2.926
23592,Steel_Mild,200000,377.44,27.56,55.42,10668.91,318.96,193.049,1.6059
23593,Magnesium_AZ31B,45000,1737.89,41.41,29.78,414.42,183.96,8.462,12.2096
23594,Stainless_304,193000,1055.25,23.69,90.64,7408.37,337.36,96.018,3.937
23595,Titanium_6Al4V,114000,950.76,24.99,111.46,31927.89,26.24,269.985,12.302
23596,Copper_Alloy,117000,1149.21,45.59,76.46,3312.32,80.92,84.804,8.3283
23597,Nylon_66,3000,299.03,57.67,93.03,7586.3,0.9,1.843,0.168
23598,Copper_Alloy,117000,209.13,58.84,28.31,193.73,11.25,1.121,0.0089
23599,Steel_Mild,200000,244.47,51.49,96.93,4905.85,272.47,15.12,0.0305
23600,Aluminum_6061,69000,473.27,35.89,70.17,16532.71,60.75,235.467,7.1486
23601,Stainless_304,193000,936.28,14.12,33.35,575.05,3.71,14.53,1.2085
23602,Nylon_66,3000,510.64,26.83,72.81,1160.65,345.6,6.804,4.9492
23603,Magnesium_AZ31B,45000,875.99,44.64,109.31,8182.28,147.53,44.761,4.5018
23604,Stainless_304,193000,1054.09,50.65,85.32,7486.54,144.64,75.775,3.3431
23605,Magnesium_AZ31B,45000,856.14,35.23,70.09,239.61,353.72,0.875,0.1205
23606,Copper_Alloy,117000,1209.82,49.67,30.64,1091.74,350.47,28.847,7.6588
23607,Stainless_304,193000,1540.93,44.56,105.22,6194.45,32.65,63.771,4.8821
23608,Polycarbonate,2400,434.21,31.84,88.71,2289.32,174.52,3.087,1.3499
23609,Nylon_66,3000,1011.85,22.24,84.37,1578.17,353.14,8.068,19.4962
23610,Steel_High_Carbon,210000,693.35,32.32,86.58,15232.45,231.7,208.933,3.6182
23611,Magnesium_AZ31B,45000,1748.44,58.35,38.13,352.62,305.69,35.509,42.065
23612,Titanium_6Al4V,114000,301.72,16.38,84.28,59415.33,181.03,59.684,0.1549
23613,Copper_Alloy,117000,875.75,30.04,35.45,1593.93,196.79,65.529,7.9001
23614,Stainless_304,193000,416.16,46.16,45.97,3017.97,149.88,40.039,0.5045
23615,Stainless_304,193000,1040.16,27.18,104.56,11534.13,148.52,130.079,4.5215
23616,Copper_Alloy,117000,1537.8,15.94,25.9,186.24,197.42,48.543,25.0307
23617,Aluminum_6061,69000,1771.92,23.58,92.24,4225.52,244.1,202.329,66.2446
23618,Aluminum_6061,69000,690.01,14.45,76.68,2910.68,243.88,128.648,7.6396
23619,Nylon_66,3000,489.61,36.49,107.07,4989.34,288.33,33.809,16.548
23620,Steel_High_Carbon,210000,1728.86,39.58,27.49,1456.86,15.27,134.361,45.9305
23621,Steel_High_Carbon,210000,1105.13,56.84,49.75,3457.47,308.33,128.617,9.9626
23622,Stainless_304,193000,1634.43,49.55,46.06,1657.53,328.32,81.831,16.2686
23623,Copper_Alloy,117000,1568.22,59.7,63.72,4279.89,97.72,164.807,36.2053
23624,Steel_Mild,200000,340.6,35.06,102.79,26318.18,341.05,54.407,0.1778
23625,Aluminum_6061,69000,1788.15,35.42,114.32,6900.16,164.61,44.101,11.4697
23626,Aluminum_6061,69000,1651.41,32.33,27.77,487.5,353.67,21.901,20.2682
23627,Stainless_304,193000,436.84,46.53,54.58,12290.04,213.74,133.285,1.5589
23628,Magnesium_AZ31B,45000,1261.44,31.19,64.23,3072.15,63.34,162.22,59.2714
23629,Aluminum_6061,69000,1766.55,34.27,53.79,2473.6,296.55,237.153,132.5872
23630,Aluminum_6061,69000,924.47,49.2,59.76,1502.75,193.64,11.688,1.5458
23631,Brass,105000,1275.78,27.37,85.7,4424.29,256.64,164.42,19.7656
23632,Stainless_304,193000,316.35,39.64,23.19,267.26,202.05,9.208,0.1332
23633,Aluminum_6061,69000,1497.95,49.1,46.64,1589.66,64.84,121.383,56.2805
23634,Nylon_66,3000,1372.02,50.16,67.54,602.36,39.67,13.974,85.685
23635,Steel_Mild,200000,992.14,28.07,35.49,1778.96,125.39,245.246,22.5753
23636,Steel_Mild,200000,1042.95,47.75,52.62,2197.66,98.98,102.902,7.0794
23637,Aluminum_6061,69000,665.92,25.17,106.52,20494.66,259.46,283.959,11.3384
23638,Steel_Mild,200000,1234.17,42.11,65.32,2962.99,34.95,70.858,5.4376
23639,Nylon_66,3000,1051.67,50.0,99.8,3229.43,317.36,28.217,68.2624
23640,Copper_Alloy,117000,553.94,59.28,35.55,1690.34,277.77,74.438,3.6543
23641,Steel_Mild,200000,1742.21,40.02,117.66,6811.52,149.74,66.04,5.569
23642,Aluminum_6061,69000,374.92,42.05,100.9,52474.99,24.87,127.901,1.5621
23643,Aluminum_6061,69000,1260.82,54.56,69.21,9684.59,188.36,43.307,9.0452
23644,Titanium_6Al4V,114000,516.39,44.24,115.82,123476.85,290.27,615.894,8.1423
23645,Stainless_304,193000,1350.87,56.91,39.92,1331.02,92.42,118.883,18.7664
23646,Polycarbonate,2400,883.79,27.44,37.95,387.13,174.13,5.683,30.3734
23647,Steel_High_Carbon,210000,1782.48,28.29,94.05,12610.07,305.81,439.949,46.8731
23648,Stainless_304,193000,924.38,49.41,30.01,1337.65,172.22,23.465,2.2198
23649,Copper_Alloy,117000,416.71,59.52,111.02,28814.52,18.0,34.671,0.2709
23650,Nylon_66,3000,264.78,10.78,116.09,6342.44,358.53,6.854,0.5069
23651,Steel_Mild,200000,798.11,12.08,81.9,3889.16,82.15,228.452,5.9029
23652,Titanium_6Al4V,114000,1028.26,49.59,83.4,44735.46,359.16,22.55,0.8751
23653,Polycarbonate,2400,1001.93,46.51,90.4,1812.9,217.65,17.869,54.0268
23654,Stainless_304,193000,1063.17,57.84,46.7,436.0,94.31,22.002,1.8382
23655,Aluminum_6061,69000,941.87,25.7,95.37,4955.79,101.98,117.734,10.5333
23656,Brass,105000,1498.56,23.69,90.34,808.88,143.09,22.901,3.5656
23657,Titanium_6Al4V,114000,285.07,44.69,88.56,172993.95,153.53,418.487,2.0216
23658,Stainless_304,193000,615.81,35.18,83.52,5846.38,248.96,83.011,1.2885
23659,Nylon_66,3000,418.53,12.91,69.23,460.34,162.28,6.19,3.198
23660,Magnesium_AZ31B,45000,734.09,46.0,50.09,3034.65,29.68,58.513,9.1398
23661,Magnesium_AZ31B,45000,1070.57,48.63,50.67,2855.9,293.86,134.868,45.0277
23662,Brass,105000,1792.83,40.23,78.8,3794.56,144.84,95.091,24.3691
23663,Steel_Mild,200000,864.12,46.78,73.88,4946.39,85.45,100.304,3.3731
23664,Nylon_66,3000,1639.32,15.7,94.98,367.67,299.73,22.302,139.4113
23665,Magnesium_AZ31B,45000,1991.27,56.89,83.46,2097.17,58.02,53.876,37.7499
23666,Steel_High_Carbon,210000,727.45,49.11,57.68,17650.49,245.59,432.189,12.5053
23667,Aluminum_6061,69000,741.09,59.9,69.67,10057.31,117.39,137.788,10.4017
23668,Copper_Alloy,117000,512.08,38.08,50.99,4517.86,51.19,110.808,3.2014
23669,Stainless_304,193000,1719.85,59.38,45.29,751.53,199.03,21.026,4.6836
23670,Aluminum_6061,69000,1675.09,44.59,85.27,4107.54,164.64,34.778,10.7235
23671,Aluminum_6061,69000,1002.68,18.01,92.86,4486.11,228.87,132.766,13.6927
23672,Steel_High_Carbon,210000,419.31,47.0,58.79,17878.61,208.13,136.485,1.2395
23673,Steel_High_Carbon,210000,1981.14,12.02,64.24,755.37,238.08,154.174,29.8005
23674,Brass,105000,339.2,21.64,116.09,22873.72,250.39,155.031,0.9463
23675,Steel_High_Carbon,210000,443.01,30.55,69.35,18804.21,86.57,340.885,3.0508
23676,Copper_Alloy,117000,1516.46,11.61,49.24,578.88,192.0,39.897,10.3526
23677,Polycarbonate,2400,1194.82,20.66,104.94,662.8,332.11,10.046,36.9169
23678,Stainless_304,193000,1435.66,36.56,30.31,346.71,70.26,83.802,19.6588
23679,Nylon_66,3000,855.87,56.95,86.05,1423.46,34.69,10.114,18.6629
23680,Nylon_66,3000,726.11,37.61,73.76,3025.86,200.19,23.28,35.3206
23681,Nylon_66,3000,833.72,20.16,65.56,256.06,207.32,6.96,15.9849
23682,Stainless_304,193000,367.12,27.97,77.21,14077.19,176.2,18.862,0.0753
23683,Copper_Alloy,117000,848.26,17.36,51.91,1553.77,327.26,92.909,7.2211
23684,Brass,105000,980.5,26.89,91.29,4347.13,345.62,30.079,1.8951
23685,Steel_High_Carbon,210000,1341.35,54.26,102.65,37957.22,38.93,341.225,18.6819
23686,Titanium_6Al4V,114000,989.96,29.47,41.19,5671.46,355.65,55.77,7.1106
23687,Titanium_6Al4V,114000,1330.87,49.58,24.46,1128.73,178.67,7.983,2.9865
23688,Polycarbonate,2400,1186.96,37.0,65.82,551.53,232.2,19.506,115.1233
23689,Nylon_66,3000,205.78,17.1,55.03,2613.62,241.63,56.51,9.3767
23690,Nylon_66,3000,923.66,54.75,73.87,549.83,331.28,5.023,12.5787
23691,Aluminum_6061,69000,643.15,14.59,112.98,9148.31,49.37,147.882,5.0891
23692,Aluminum_6061,69000,543.34,19.47,36.08,1069.65,229.05,104.955,8.2151
23693,Steel_Mild,200000,287.81,19.49,116.25,21388.23,333.93,70.929,0.1469
23694,Polycarbonate,2400,1252.48,57.22,109.26,766.5,347.6,1.932,7.2221
23695,Magnesium_AZ31B,45000,556.3,11.11,58.52,655.38,165.48,15.405,1.1294
23696,Steel_High_Carbon,210000,402.98,58.59,48.61,11065.77,113.79,178.645,1.8755
23697,Steel_High_Carbon,210000,1145.57,12.87,85.74,3281.98,17.05,72.788,3.397
23698,Steel_Mild,200000,1913.46,30.7,33.96,426.55,242.5,122.879,44.0906
23699,Titanium_6Al4V,114000,281.59,33.86,65.22,62365.58,286.53,712.863,4.9865
23700,Titanium_6Al4V,114000,1429.26,46.72,81.34,26313.36,125.35,599.604,87.447
23701,Steel_High_Carbon,210000,1638.85,13.09,92.43,3354.46,325.1,171.078,15.5672
23702,Magnesium_AZ31B,45000,996.38,54.38,69.35,1595.47,60.83,32.065,6.7536
23703,Aluminum_6061,69000,1457.76,47.37,53.24,4196.55,238.61,234.255,89.9952
23704,Titanium_6Al4V,114000,1128.39,26.73,68.12,3933.44,9.46,37.43,3.8573
23705,Steel_High_Carbon,210000,375.39,34.22,111.32,89191.13,163.72,156.209,0.5352
23706,Steel_Mild,200000,575.55,42.6,51.36,4647.97,175.44,13.481,0.2442
23707,Steel_High_Carbon,210000,1490.38,44.15,115.7,25383.67,334.25,171.423,10.1693
23708,Nylon_66,3000,1415.82,19.1,69.78,595.36,348.69,11.105,68.0823
23709,Stainless_304,193000,1778.22,31.76,50.17,262.6,176.13,2.53,0.515
23710,Aluminum_6061,69000,1904.8,29.1,38.38,384.33,257.0,99.926,91.1968
23711,Copper_Alloy,117000,1714.38,44.58,54.01,1929.83,260.95,150.887,46.7425
23712,Steel_Mild,200000,1126.49,33.87,75.9,665.76,15.79,6.527,0.3497
23713,Magnesium_AZ31B,45000,1286.7,29.58,108.72,7650.66,208.45,82.622,18.1559
23714,Nylon_66,3000,738.6,36.37,76.56,1729.34,348.65,7.69,11.2038
23715,Copper_Alloy,117000,1112.11,40.89,59.57,3968.77,153.51,82.886,9.6305
23716,Brass,105000,439.34,36.36,113.52,32200.43,120.24,161.384,1.6896
23717,Copper_Alloy,117000,1059.9,25.14,35.54,184.14,151.29,17.898,3.1907
23718,Titanium_6Al4V,114000,1477.91,29.1,77.81,20284.75,39.4,655.118,106.3798
23719,Stainless_304,193000,1126.02,49.64,41.84,1960.57,115.37,138.15,14.417
23720,Copper_Alloy,117000,952.56,27.71,55.02,1971.87,307.16,107.887,10.0615
23721,Aluminum_6061,69000,1532.01,35.98,64.9,1301.24,72.58,75.486,26.3129
23722,Magnesium_AZ31B,45000,1468.34,28.74,118.52,3162.39,311.17,52.592,14.0003
23723,Brass,105000,529.0,58.9,33.3,4514.44,338.13,83.887,4.3604
23724,Stainless_304,193000,1029.54,57.38,57.79,3989.44,74.92,124.521,7.867
23725,Steel_High_Carbon,210000,1089.29,48.62,106.63,4221.09,70.96,47.483,1.6665
23726,Aluminum_6061,69000,1458.73,13.63,71.21,448.01,349.66,10.639,2.94
23727,Nylon_66,3000,1358.42,12.07,83.35,648.3,10.88,12.531,58.5182
23728,Steel_High_Carbon,210000,310.9,38.56,98.82,40720.05,300.07,181.525,0.5421
23729,Magnesium_AZ31B,45000,1058.0,20.19,61.42,1156.96,234.99,79.539,21.324
23730,Stainless_304,193000,1928.65,44.75,101.47,9017.55,190.89,44.748,5.418
23731,Magnesium_AZ31B,45000,623.24,15.94,86.33,2410.91,280.35,75.102,4.9762
23732,Copper_Alloy,117000,1165.81,40.42,35.82,533.54,130.14,55.255,11.8936
23733,Steel_Mild,200000,857.68,54.21,24.34,992.26,121.4,136.112,13.6716
23734,Magnesium_AZ31B,45000,1126.63,23.14,59.37,1832.5,47.71,113.274,35.584
23735,Brass,105000,1297.15,47.42,76.33,284.64,25.42,3.514,0.4817
23736,Polycarbonate,2400,1693.39,25.81,111.04,345.48,130.31,8.492,60.3376
23737,Brass,105000,549.3,44.39,23.3,1473.81,156.01,83.265,6.738
23738,Steel_High_Carbon,210000,1607.73,41.05,114.75,23276.04,93.71,415.036,29.642
23739,Titanium_6Al4V,114000,433.75,18.66,87.4,36488.73,130.29,524.522,6.3974
23740,Copper_Alloy,117000,1286.27,28.81,108.11,3851.03,159.94,31.456,2.64
23741,Stainless_304,193000,1576.09,58.98,38.59,2185.9,304.31,194.949,43.2242
23742,Steel_High_Carbon,210000,1665.81,13.71,117.06,5694.89,75.19,293.953,22.0428
23743,Brass,105000,357.63,49.37,119.7,60458.3,256.98,182.829,1.2122
23744,Brass,105000,1186.51,36.14,92.39,7659.02,25.08,77.04,7.2484
23745,Aluminum_6061,69000,1974.11,17.96,52.29,692.86,94.53,166.666,119.9636
23746,Aluminum_6061,69000,437.57,58.55,55.89,11077.63,136.79,111.507,3.6038
23747,Steel_High_Carbon,210000,1238.96,45.65,54.04,8683.65,281.92,474.587,42.7229
23748,Copper_Alloy,117000,1267.2,39.38,91.73,2238.02,345.15,13.766,1.3128
23749,Titanium_6Al4V,114000,205.35,56.66,45.07,90163.21,5.66,130.643,0.5247
23750,Nylon_66,3000,315.04,33.32,47.84,391.41,46.36,7.206,3.237
23751,Steel_High_Carbon,210000,206.31,48.37,24.21,12078.73,298.78,467.795,2.5799
23752,Steel_High_Carbon,210000,1728.44,57.18,110.15,35915.12,107.2,514.742,44.1584
23753,Brass,105000,1146.06,58.63,20.81,654.69,347.69,38.328,15.1489
23754,Aluminum_6061,69000,576.02,55.34,93.3,21610.98,89.05,155.475,5.3267
23755,Steel_Mild,200000,602.61,30.1,96.84,10772.71,6.57,19.49,0.1977
23756,Magnesium_AZ31B,45000,1996.71,37.38,114.48,5452.58,338.81,49.401,24.8674
23757,Stainless_304,193000,256.86,45.31,106.93,46842.42,356.91,17.219,0.0205
23758,Steel_Mild,200000,989.33,23.29,87.47,8854.72,2.38,16.599,0.4574
23759,Copper_Alloy,117000,1017.41,30.02,79.93,3427.71,211.72,58.608,4.2327
23760,Titanium_6Al4V,114000,400.27,48.58,103.34,115638.4,9.77,113.994,0.8275
23761,Nylon_66,3000,307.21,44.09,54.69,4265.66,173.1,8.936,2.7528
23762,Titanium_6Al4V,114000,1129.19,46.37,63.7,3042.86,89.09,109.603,12.8241
23763,Magnesium_AZ31B,45000,590.98,55.4,67.71,8511.18,330.81,60.0,4.4285
23764,Nylon_66,3000,546.7,46.87,27.45,728.03,16.44,19.684,46.3039
23765,Copper_Alloy,117000,1594.47,27.3,23.3,316.79,237.7,173.114,107.4621
23766,Magnesium_AZ31B,45000,1819.94,54.44,110.53,9019.72,138.43,99.417,43.6231
23767,Steel_Mild,200000,679.56,48.84,112.58,22740.7,214.0,87.397,1.1454
23768,Copper_Alloy,117000,824.5,24.39,96.49,3360.0,6.2,9.333,0.3175
23769,Stainless_304,193000,348.76,56.53,74.64,785.32,193.76,1.427,0.007
23770,Stainless_304,193000,1886.71,35.82,48.22,1245.19,31.84,89.902,22.7672
23771,Aluminum_6061,69000,1277.36,35.39,36.4,614.72,75.46,97.384,42.1218
23772,Copper_Alloy,117000,1821.93,41.77,84.26,1952.65,355.2,6.577,1.352
23773,Aluminum_6061,69000,941.19,49.1,76.44,675.83,236.51,11.2,1.2422
23774,Polycarbonate,2400,590.42,40.7,114.16,12503.27,50.42,66.294,54.5931
23775,Aluminum_6061,69000,600.62,39.09,23.53,838.53,324.94,80.962,11.8806
23776,Magnesium_AZ31B,45000,264.85,22.5,60.23,4019.09,321.27,51.495,0.8448
23777,Magnesium_AZ31B,45000,459.41,20.21,100.8,1848.33,258.03,24.568,0.7529
23778,Nylon_66,3000,901.86,56.83,59.39,1625.46,173.34,5.569,15.4884
23779,Magnesium_AZ31B,45000,1192.48,39.16,33.16,398.76,100.53,65.204,41.3857
23780,Steel_High_Carbon,210000,1927.38,40.7,68.75,3398.92,87.21,204.165,35.0071
23781,Polycarbonate,2400,349.56,55.17,97.79,16754.45,163.87,21.604,6.4374
23782,Copper_Alloy,117000,577.01,40.64,94.64,6426.76,179.54,2.162,0.0128
23783,Aluminum_6061,69000,1960.93,36.9,65.12,2105.97,167.14,36.101,20.1069
